1	2	2	[2]	TW(hoofd,prenom,stan)	0.777778	O	B-NP	2	det
2	mannen	man	[man][en]	N(soort,mv,basis)	0.995266	O	I-NP	0	ROOT
3	op	op	[op]	VZ(init)	0.978947	O	B-PP	2	mod
4	paarden	paard	[paard][en]	N(soort,mv,basis)	0.997650	O	B-NP	5	cnj
5	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	3	obj1
6	een	een	[een]	LID(onbep,stan,agr)	0.999573	O	B-NP	7	det
7	man	man	[man]	N(soort,ev,basis,zijd,stan)	0.995858	O	I-NP	5	cnj
8	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.718254	O	B-SBAR	7	mod
9	bij	bij	[bij]	VZ(init)	0.997868	O	B-PP	0	ROOT
10	een	een	[een]	LID(onbep,stan,agr)	0.999038	O	B-NP	11	det
11	motor	motor	[motor]	N(soort,ev,basis,zijd,stan)	0.998794	O	I-NP	9	obj1
12	staat	staat	[staat]	N(soort,ev,basis,zijd,stan)	1.000000	O	B-NP	0	ROOT

1	een	een	[een]	LID(onbep,stan,agr)	0.999528	O	B-NP	2	det
2	verkeersbord	verkeersbord	[verkeer][s][bord]	N(soort,ev,basis,onz,stan)	0.996899	O	I-NP	0	ROOT
3	over	over	[over]	VZ(init)	0.996212	O	B-PP	2	mod
4	voetgangers	voetganger	[voet][ga][er][s]	N(soort,mv,basis)	0.997650	O	B-NP	5	cnj
5	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	3	obj1
6	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	8	det
7	oranje	oranje	[oranje]	ADJ(prenom,basis,zonder)	0.941176	O	B-NP	8	mod
8	stoplicht	stoplicht	[stop][licht]	N(soort,ev,basis,onz,stan)	0.800000	O	I-NP	5	cnj

1	drie	drie	[drie]	TW(hoofd,prenom,stan)	0.997436	O	B-NP	2	det
2	stoplichten	stoplicht	[stop][licht][en]	N(soort,mv,basis)	0.997993	O	I-NP	3	cnj
3	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	0	ROOT
4	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	6	det
5	aziatisch	aziatisch	[a][ziatisch]	ADJ(prenom,basis,zonder)	1.000000	O	I-NP	6	mod
6	restaurant	restaurant	[restaureer][ant]	N(soort,ev,basis,onz,stan)	0.996804	O	I-NP	3	cnj

1	een	een	[een]	LID(onbep,stan,agr)	0.999907	O	B-NP	2	det
2	jongetje	jongen	[jonge][netje]	N(soort,ev,dim,onz,stan)	0.999597	O	I-NP	0	ROOT
3	met	met	[met]	VZ(init)	0.999761	O	B-PP	2	mod
4	een	een	[een]	LID(onbep,stan,agr)	0.998374	O	B-NP	5	det
5	handschoen	handschoen	[hand][schoen]	N(soort,ev,basis,zijd,stan)	0.805556	O	I-NP	3	obj1
6	in	in	[in]	VZ(init)	0.996805	O	B-PP	5	mod
7	een	een	[een]	LID(onbep,stan,agr)	0.999837	O	B-NP	8	det
8	park	park	[park]	N(soort,ev,basis,onz,stan)	0.997509	O	I-NP	6	obj1
9	dat	dat	[dat]	VNW(betr,pron,stan,vol,3,ev)	0.583333	O	B-SBAR	8	mod
10	een	een	[een]	LID(onbep,stan,agr)	0.999528	O	B-NP	11	det
11	baseball	baseball	[baseball]	N(soort,ev,basis,onz,stan)	0.995902	O	B-NP	12	obj1
12	gooit	gooien	[gooi][t]	WW(pv,tgw,met-t)	0.998984	O	B-VP	9	body

1	een	een	[een]	LID(onbep,stan,agr)	0.999560	O	B-NP	2	det
2	bushalte	bushalte	[bus][halte]	N(soort,ev,basis,zijd,stan)	0.999295	O	I-NP	6	cnj
3	met	met	[met]	VZ(init)	0.999480	O	B-PP	2	mod
4	twee	twee	[twee]	TW(hoofd,prenom,stan)	0.995556	O	B-NP	5	det
5	bussen	bus	[bus][en]	N(soort,mv,basis)	0.997993	O	I-NP	3	obj1
6	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	0	ROOT
7	een	een	[een]	LID(onbep,stan,agr)	0.999573	O	B-NP	8	det
8	man	man	[man]	N(soort,ev,basis,zijd,stan)	0.995858	O	I-NP	6	cnj
9	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.750000	O	B-SBAR	8	mod
10	boodschappen	boodschap	[boodschap][en]	N(soort,mv,basis)	0.998832	O	B-NP	11	obj1
11	draagt	dragen	[draag][t]	WW(pv,tgw,met-t)	0.998984	O	B-VP	9	body

1	nagerecht	nagerecht	[na][gerecht]	N(soort,ev,basis,onz,stan)	0.997078	O	B-NP	0	ROOT
2	in	in	[in]	VZ(init)	0.997085	O	B-PP	1	mod
3	een	een	[een]	LID(onbep,stan,agr)	0.999837	O	B-NP	4	det
4	restaurant	restaurant	[restaureer][ant]	N(soort,ev,basis,onz,stan)	0.997509	O	I-NP	2	obj1
5	dat	dat	[dat]	VNW(betr,pron,stan,vol,3,ev)	1.000000	O	B-SBAR	4	mod
6	uit	uit	[uit]	VZ(init)	0.568395	O	B-PP	9	ld
7	meerdere	meerder	[meerdere]	VNW(onbep,det,stan,prenom,met-e,mv)	0.986667	O	B-NP	8	det
8	onderdelen	onderdeel	[onder][deel][en]	N(soort,mv,basis)	0.998832	O	I-NP	6	obj1
9	bestaat	bestaan	[be][sta][t]	WW(pv,tgw,met-t)	0.998984	O	B-VP	5	body

1	een	een	[een]	LID(onbep,stan,agr)	0.999560	O	B-NP	2	det
2	tafel	tafel	[tafel]	N(soort,ev,basis,zijd,stan)	0.999295	O	I-NP	0	ROOT
3	met	met	[met]	VZ(init)	0.999761	O	B-PP	2	mod
4	een	een	[een]	LID(onbep,stan,agr)	0.999573	O	B-NP	5	det
5	bankje	bank	[bank][je]	N(soort,ev,dim,onz,stan)	0.999323	O	I-NP	3	obj1
6	waarschijnlijk	waarschijnlijk	[waarschijnlijk]	ADJ(vrij,basis,zonder)	0.999659	O	B-ADJP	7	None
7	uit	uit	[uit]	VZ(init)	0.980746	O	B-PP	5	mod
8	een	een	[een]	LID(onbep,stan,agr)	0.999837	O	B-NP	9	det
9	restaurant	restaurant	[restaureer][ant]	N(soort,ev,basis,onz,stan)	0.996804	O	I-NP	7	obj1

1	een	een	[een]	LID(onbep,stan,agr)	0.999573	O	B-NP	2	det
2	man	man	[man]	N(soort,ev,basis,zijd,stan)	0.995858	O	I-NP	3	cnj
3	en	en	[en]	VG(neven)	0.999408	O	B-CONJP	0	ROOT
4	vrouw	vrouw	[vrouw]	N(soort,ev,basis,zijd,stan)	0.997481	O	B-VP	3	cnj
5	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.995485	O	B-NP	4	mod
